module_name,module_index,layer,module_type,module_family,linear_group,n,k,selected_method,quality_cost,latency_cost
model.layers.14.self_attn.q_proj,99,14,q_proj,attention,self_attn.q_proj,4096,4096,sparse_bf16,0.31015632360768164,1.2946943998336793
model.layers.14.self_attn.k_proj,100,14,k_proj,attention,self_attn.k_proj,4096,4096,sparse_bf16,0.20589485822369707,1.2990015983581542
model.layers.14.self_attn.v_proj,101,14,v_proj,attention,self_attn.v_proj,4096,4096,sparse_bf16,1.1588003091339407,1.2970336198806762
model.layers.14.self_attn.o_proj,102,14,o_proj,attention,self_attn.o_proj,4096,4096,sparse_bf16,1.4544701921764458,1.29475839138031
model.layers.14.mlp.gate_proj,103,14,gate_proj,mlp,mlp.gate_proj,11008,4096,dense_nvfp4,0.0487874331281335,2.8061856031417847
model.layers.14.mlp.up_proj,104,14,up_proj,mlp,mlp.up_proj,11008,4096,dense_nvfp4,0.08597515151477989,2.80316481590271
model.layers.14.mlp.down_proj,105,14,down_proj,mlp,mlp.down_proj,4096,11008,sparse_bf16,1.4857361387245263,3.2431904077529907
model.layers.15.self_attn.q_proj,106,15,q_proj,attention,self_attn.q_proj,4096,4096,sparse_bf16,0.27420582986916214,1.2946943998336793
model.layers.15.self_attn.k_proj,107,15,k_proj,attention,self_attn.k_proj,4096,4096,sparse_bf16,0.1999527049895286,1.2990015983581542
model.layers.15.self_attn.v_proj,108,15,v_proj,attention,self_attn.v_proj,4096,4096,sparse_bf16,1.1269170229046208,1.2970336198806762
model.layers.15.self_attn.o_proj,109,15,o_proj,attention,self_attn.o_proj,4096,4096,sparse_bf16,1.3274505654495972,1.29475839138031
model.layers.15.mlp.gate_proj,110,15,gate_proj,mlp,mlp.gate_proj,11008,4096,dense_nvfp4,0.04903439476655477,2.8061856031417847
model.layers.15.mlp.up_proj,111,15,up_proj,mlp,mlp.up_proj,11008,4096,dense_nvfp4,0.08483410190498858,2.80316481590271
model.layers.15.mlp.down_proj,112,15,down_proj,mlp,mlp.down_proj,4096,11008,sparse_bf16,1.4390005689223269,3.2431904077529907
model.layers.16.self_attn.q_proj,113,16,q_proj,attention,self_attn.q_proj,4096,4096,sparse_bf16,0.28752197081259045,1.2946943998336793
model.layers.16.self_attn.k_proj,114,16,k_proj,attention,self_attn.k_proj,4096,4096,sparse_bf16,0.19518981604249683,1.2990015983581542
model.layers.16.self_attn.v_proj,115,16,v_proj,attention,self_attn.v_proj,4096,4096,sparse_bf16,1.2407186661333465,1.2970336198806762
model.layers.16.self_attn.o_proj,116,16,o_proj,attention,self_attn.o_proj,4096,4096,sparse_bf16,1.1590422265838887,1.29475839138031
model.layers.16.mlp.gate_proj,117,16,gate_proj,mlp,mlp.gate_proj,11008,4096,dense_nvfp4,0.04835745696106293,2.8061856031417847
model.layers.16.mlp.up_proj,118,16,up_proj,mlp,mlp.up_proj,11008,4096,dense_nvfp4,0.08318317131216384,2.80316481590271
model.layers.16.mlp.down_proj,119,16,down_proj,mlp,mlp.down_proj,4096,11008,sparse_bf16,1.397898429876588,3.2431904077529907
model.layers.17.self_attn.q_proj,120,17,q_proj,attention,self_attn.q_proj,4096,4096,sparse_bf16,0.3020009057847568,1.2946943998336793
model.layers.17.self_attn.k_proj,121,17,k_proj,attention,self_attn.k_proj,4096,4096,sparse_bf16,0.2168177579552316,1.2990015983581542
model.layers.17.self_attn.v_proj,122,17,v_proj,attention,self_attn.v_proj,4096,4096,sparse_bf16,1.1740318253164292,1.2970336198806762
model.layers.17.self_attn.o_proj,123,17,o_proj,attention,self_attn.o_proj,4096,4096,sparse_bf16,1.2446484228965742,1.29475839138031
model.layers.17.mlp.gate_proj,124,17,gate_proj,mlp,mlp.gate_proj,11008,4096,dense_nvfp4,0.05176695800638349,2.8061856031417847
model.layers.17.mlp.up_proj,125,17,up_proj,mlp,mlp.up_proj,11008,4096,dense_nvfp4,0.09032728385354415,2.80316481590271
model.layers.17.mlp.down_proj,126,17,down_proj,mlp,mlp.down_proj,4096,11008,sparse_bf16,1.4621413645063197,3.2431904077529907
model.layers.18.self_attn.q_proj,127,18,q_proj,attention,self_attn.q_proj,4096,4096,sparse_bf16,0.30549668264433016,1.2946943998336793
model.layers.18.self_attn.k_proj,128,18,k_proj,attention,self_attn.k_proj,4096,4096,sparse_bf16,0.2354973451418822,1.2990015983581542
model.layers.18.self_attn.v_proj,129,18,v_proj,attention,self_attn.v_proj,4096,4096,sparse_bf16,1.2385370782310698,1.2970336198806762
model.layers.18.self_attn.o_proj,130,18,o_proj,attention,self_attn.o_proj,4096,4096,sparse_bf16,1.2957838667633739,1.29475839138031
model.layers.18.mlp.gate_proj,131,18,gate_proj,mlp,mlp.gate_proj,11008,4096,dense_nvfp4,0.05607836961036014,2.8061856031417847
model.layers.18.mlp.up_proj,132,18,up_proj,mlp,mlp.up_proj,11008,4096,dense_nvfp4,0.09630167868835034,2.80316481590271
model.layers.18.mlp.down_proj,133,18,down_proj,mlp,mlp.down_proj,4096,11008,sparse_bf16,1.4481088425036928,3.2431904077529907
model.layers.19.self_attn.q_proj,134,19,q_proj,attention,self_attn.q_proj,4096,4096,sparse_bf16,0.3255286924279505,1.2946943998336793
model.layers.19.self_attn.k_proj,135,19,k_proj,attention,self_attn.k_proj,4096,4096,sparse_bf16,0.22752253870704173,1.2990015983581542
model.layers.19.self_attn.v_proj,136,19,v_proj,attention,self_attn.v_proj,4096,4096,sparse_bf16,1.2350003011791448,1.2970336198806762
model.layers.19.self_attn.o_proj,137,19,o_proj,attention,self_attn.o_proj,4096,4096,sparse_bf16,1.3171324693789233,1.29475839138031
model.layers.19.mlp.gate_proj,138,19,gate_proj,mlp,mlp.gate_proj,11008,4096,dense_nvfp4,0.062479289651666305,2.8061856031417847
model.layers.19.mlp.up_proj,139,19,up_proj,mlp,mlp.up_proj,11008,4096,dense_nvfp4,0.09692951361232262,2.80316481590271
model.layers.19.mlp.down_proj,140,19,down_proj,mlp,mlp.down_proj,4096,11008,sparse_bf16,1.4609521852515357,3.2431904077529907
model.layers.20.self_attn.q_proj,141,20,q_proj,attention,self_attn.q_proj,4096,4096,sparse_bf16,0.3225769989265001,1.2946943998336793
model.layers.20.self_attn.k_proj,142,20,k_proj,attention,self_attn.k_proj,4096,4096,sparse_bf16,0.2391707015760079,1.2990015983581542
model.layers.20.self_attn.v_proj,143,20,v_proj,attention,self_attn.v_proj,4096,4096,sparse_bf16,1.315530970960604,1.2970336198806762
model.layers.20.self_attn.o_proj,144,20,o_proj,attention,self_attn.o_proj,4096,4096,sparse_bf16,1.0047160167270304,1.29475839138031
model.layers.20.mlp.gate_proj,145,20,gate_proj,mlp,mlp.gate_proj,11008,4096,dense_nvfp4,0.060701764955135275,2.8061856031417847
model.layers.20.mlp.up_proj,146,20,up_proj,mlp,mlp.up_proj,11008,4096,dense_nvfp4,0.09394860735106968,2.80316481590271
model.layers.20.mlp.down_proj,147,20,down_proj,mlp,mlp.down_proj,4096,11008,sparse_bf16,1.334005161503502,3.2431904077529907
model.layers.21.self_attn.q_proj,148,21,q_proj,attention,self_attn.q_proj,4096,4096,sparse_bf16,0.3510190428039918,1.2946943998336793
model.layers.21.self_attn.k_proj,149,21,k_proj,attention,self_attn.k_proj,4096,4096,sparse_bf16,0.2622152427241169,1.2990015983581542
model.layers.21.self_attn.v_proj,150,21,v_proj,attention,self_attn.v_proj,4096,4096,sparse_bf16,1.3594836890093085,1.2970336198806762
model.layers.21.self_attn.o_proj,151,21,o_proj,attention,self_attn.o_proj,4096,4096,sparse_bf16,1.3245124596119844,1.29475839138031
model.layers.21.mlp.gate_proj,152,21,gate_proj,mlp,mlp.gate_proj,11008,4096,dense_nvfp4,0.06625356871501217,2.8061856031417847
model.layers.21.mlp.up_proj,153,21,up_proj,mlp,mlp.up_proj,11008,4096,dense_nvfp4,0.09806160029686181,2.80316481590271
model.layers.21.mlp.down_proj,154,21,down_proj,mlp,mlp.down_proj,4096,11008,sparse_bf16,1.3869790218980067,3.2431904077529907
model.layers.22.self_attn.q_proj,155,22,q_proj,attention,self_attn.q_proj,4096,4096,sparse_bf16,0.34267789874693516,1.2946943998336793
model.layers.22.self_attn.k_proj,156,22,k_proj,attention,self_attn.k_proj,4096,4096,sparse_bf16,0.2623789054718011,1.2990015983581542
model.layers.22.self_attn.v_proj,157,22,v_proj,attention,self_attn.v_proj,4096,4096,sparse_bf16,1.2964617492632806,1.2970336198806762
model.layers.22.self_attn.o_proj,158,22,o_proj,attention,self_attn.o_proj,4096,4096,sparse_bf16,1.0736540053435004,1.29475839138031
model.layers.22.mlp.gate_proj,159,22,gate_proj,mlp,mlp.gate_proj,11008,4096,dense_nvfp4,0.06866046335437279,2.8061856031417847
model.layers.22.mlp.up_proj,160,22,up_proj,mlp,mlp.up_proj,11008,4096,dense_nvfp4,0.09957009749383071,2.80316481590271
model.layers.22.mlp.down_proj,161,22,down_proj,mlp,mlp.down_proj,4096,11008,sparse_bf16,1.4665988568213384,3.2431904077529907
model.layers.23.self_attn.q_proj,162,23,q_proj,attention,self_attn.q_proj,4096,4096,sparse_bf16,0.4011119518388036,1.2946943998336793
model.layers.23.self_attn.k_proj,163,23,k_proj,attention,self_attn.k_proj,4096,4096,sparse_bf16,0.3096816390827266,1.2990015983581542
model.layers.23.self_attn.v_proj,164,23,v_proj,attention,self_attn.v_proj,4096,4096,sparse_bf16,1.3538850345714963,1.2970336198806762
model.layers.23.self_attn.o_proj,165,23,o_proj,attention,self_attn.o_proj,4096,4096,dense_nvfp4,0.1048220184792374,1.9912927985191344
model.layers.23.mlp.gate_proj,166,23,gate_proj,mlp,mlp.gate_proj,11008,4096,dense_nvfp4,0.07523881525935354,2.8061856031417847
model.layers.23.mlp.up_proj,167,23,up_proj,mlp,mlp.up_proj,11008,4096,dense_nvfp4,0.10409841460282396,2.80316481590271
model.layers.23.mlp.down_proj,168,23,down_proj,mlp,mlp.down_proj,4096,11008,sparse_bf16,1.5345462483623347,3.2431904077529907
model.layers.24.self_attn.q_proj,169,24,q_proj,attention,self_attn.q_proj,4096,4096,sparse_bf16,0.4543410402123158,1.2946943998336793
model.layers.24.self_attn.k_proj,170,24,k_proj,attention,self_attn.k_proj,4096,4096,sparse_bf16,0.32483953650506453,1.2990015983581542
model.layers.24.self_attn.v_proj,171,24,v_proj,attention,self_attn.v_proj,4096,4096,sparse_bf16,1.6008229285849902,1.2970336198806762
model.layers.24.self_attn.o_proj,172,24,o_proj,attention,self_attn.o_proj,4096,4096,sparse_bf16,1.2373809584615592,1.29475839138031
model.layers.24.mlp.gate_proj,173,24,gate_proj,mlp,mlp.gate_proj,11008,4096,dense_nvfp4,0.08823779465229982,2.8061856031417847
model.layers.24.mlp.up_proj,174,24,up_proj,mlp,mlp.up_proj,11008,4096,dense_nvfp4,0.12251658827880453,2.80316481590271
model.layers.24.mlp.down_proj,175,24,down_proj,mlp,mlp.down_proj,4096,11008,sparse_bf16,1.8564552619796653,3.2431904077529907
model.layers.25.self_attn.q_proj,176,25,q_proj,attention,self_attn.q_proj,4096,4096,sparse_bf16,0.5300119610764538,1.2946943998336793
model.layers.25.self_attn.k_proj,177,25,k_proj,attention,self_attn.k_proj,4096,4096,sparse_bf16,0.4139282855466047,1.2990015983581542
model.layers.25.self_attn.v_proj,178,25,v_proj,attention,self_attn.v_proj,4096,4096,sparse_bf16,1.6456133662975416,1.2970336198806762
model.layers.25.self_attn.o_proj,179,25,o_proj,attention,self_attn.o_proj,4096,4096,sparse_bf16,0.9651960743430298,1.29475839138031
model.layers.25.mlp.gate_proj,180,25,gate_proj,mlp,mlp.gate_proj,11008,4096,dense_nvfp4,0.08884749628123569,2.8061856031417847
model.layers.25.mlp.up_proj,181,25,up_proj,mlp,mlp.up_proj,11008,4096,dense_nvfp4,0.12405339267900665,2.80316481590271
model.layers.25.mlp.down_proj,182,25,down_proj,mlp,mlp.down_proj,4096,11008,sparse_bf16,1.838774239874243,3.2431904077529907
model.layers.26.self_attn.q_proj,183,26,q_proj,attention,self_attn.q_proj,4096,4096,sparse_bf16,0.47658831491226106,1.2946943998336793
model.layers.26.self_attn.k_proj,184,26,k_proj,attention,self_attn.k_proj,4096,4096,sparse_bf16,0.3615006723394818,1.2990015983581542
model.layers.26.self_attn.v_proj,185,26,v_proj,attention,self_attn.v_proj,4096,4096,sparse_bf16,1.6943449642547213,1.2970336198806762
model.layers.26.self_attn.o_proj,186,26,o_proj,attention,self_attn.o_proj,4096,4096,sparse_bf16,1.1278117789257354,1.29475839138031
model.layers.26.mlp.gate_proj,187,26,gate_proj,mlp,mlp.gate_proj,11008,4096,dense_nvfp4,0.08375502199881497,2.8061856031417847
model.layers.26.mlp.up_proj,188,26,up_proj,mlp,mlp.up_proj,11008,4096,dense_nvfp4,0.1186584200437767,2.80316481590271
model.layers.26.mlp.down_proj,189,26,down_proj,mlp,mlp.down_proj,4096,11008,sparse_bf16,1.8747737648237972,3.2431904077529907
model.layers.27.self_attn.q_proj,190,27,q_proj,attention,self_attn.q_proj,4096,4096,sparse_bf16,0.5203916703472864,1.2946943998336793
model.layers.27.self_attn.k_proj,191,27,k_proj,attention,self_attn.k_proj,4096,4096,sparse_bf16,0.40311574644276305,1.2990015983581542
model.layers.27.self_attn.v_proj,192,27,v_proj,attention,self_attn.v_proj,4096,4096,sparse_bf16,1.6474975742666926,1.2970336198806762
model.layers.27.self_attn.o_proj,193,27,o_proj,attention,self_attn.o_proj,4096,4096,dense_nvfp4,0.11854331227747278,1.9912927985191344
model.layers.27.mlp.gate_proj,194,27,gate_proj,mlp,mlp.gate_proj,11008,4096,dense_nvfp4,0.07939504718892723,2.8061856031417847
model.layers.27.mlp.up_proj,195,27,up_proj,mlp,mlp.up_proj,11008,4096,dense_nvfp4,0.10956113729976683,2.80316481590271
