model,scenario,method_family,policy_or_method,batch_size,input_tokens,output_tokens,prefill_ms,decode_avg_ms,decode_first_ms,decode_steady_ms,decode_x_n_ms,e2e_ms,replaced_linear_count,skipped_linear_count,backend_counts,policy_json,source_file,category,timing_mode
Llama-2-7B,normal_02,single,dense_bf16,1,16384,256,1512.0001220703125,29.64610056579113,113.37474822998047,29.31728209848479,7589.401744842529,9101.401866912842,,,,/root/wja/project/my/cospaq/fake/artifacts/results/main/002_warm_e2e_aligned_policy_retest/single/dense_bf16/normal_02/llama2-7b_policy.json,single/dense_bf16/normal_02/llama2-7b_full_e2e.csv,single/dense_bf16,warm_e2e_aligned
Llama-2-7B,normal_02,single,dense_nvfp4,1,16384,256,1187.08154296875,63.131915390491486,64.8160629272461,63.12576103210449,16161.77033996582,17348.85188293457,224,0,{'dense_nvfp4': 224},/root/wja/project/my/cospaq/fake/artifacts/results/main/002_warm_e2e_aligned_policy_retest/single/dense_nvfp4/normal_02/llama2-7b_policy.json,single/dense_nvfp4/normal_02/llama2-7b_full_e2e.csv,single/dense_nvfp4,warm_e2e_aligned
Llama-2-7B,normal_02,single,dense_nvfp4_prefill_marlin_decode,1,16384,256,1190.4779052734375,25.671691693365574,507.1614685058594,23.71967302908109,6571.953073501587,7762.430978775024,224,0,{'dense_nvfp4/marlin_nvfp4': 224},artifacts/results/main/003_llama2_oracle_summary/single/dense_nvfp4_prefill_marlin_decode/normal_02/llama2-7b_policy.json,single/dense_nvfp4_prefill_marlin_decode/normal_02/llama2-7b_full_e2e.csv,single/dense_nvfp4_prefill_marlin_decode,warm_e2e_aligned
Llama-2-7B,normal_02,single,marlin_nvfp4,1,16384,256,1519.05224609375,24.21414866298437,28.4169921875,24.19452854216568,6198.822057723999,7717.874303817749,224,0,{'marlin_nvfp4': 224},/root/wja/project/my/cospaq/fake/artifacts/results/main/002_warm_e2e_aligned_policy_retest/single/marlin_nvfp4/normal_02/llama2-7b_policy.json,single/marlin_nvfp4/normal_02/llama2-7b_full_e2e.csv,single/marlin_nvfp4,warm_e2e_aligned
Llama-2-7B,normal_02,single,sparse_bf16,1,16384,256,1163.814697265625,35.82380652427673,164.0504913330078,35.32063613350936,9170.894470214844,10334.709167480469,224,0,{'sparse_bf16': 224},/root/wja/project/my/cospaq/fake/artifacts/results/main/002_warm_e2e_aligned_policy_retest/single/sparse_bf16/normal_02/llama2-7b_policy.json,single/sparse_bf16/normal_02/llama2-7b_full_e2e.csv,single/sparse_bf16,warm_e2e_aligned
Llama-2-7B,normal_02,single,sparse_nvfp4,1,16384,256,1165.919677734375,80.32619771361351,86.23241424560547,80.29486573587252,20563.50661468506,21729.426292419434,224,0,{'sparse_nvfp4': 224},/root/wja/project/my/cospaq/fake/artifacts/results/main/002_warm_e2e_aligned_policy_retest/single/sparse_nvfp4/normal_02/llama2-7b_policy.json,single/sparse_nvfp4/normal_02/llama2-7b_full_e2e.csv,single/sparse_nvfp4,warm_e2e_aligned
Llama-2-7B,prefill_only,oracle,oracle,16,1024,0,756.9168090820312,0.0,0.0,0.0,0.0,756.9168090820312,224,0,"{'sparse_bf16': 160, 'sparse_nvfp4': 64}",/root/wja/project/my/cospaq/fake/artifacts/results/main/001_hybrid_policy_retest/pred/prefill_only/llama2-7b_policy.json,oracle/prefill_only/llama2-7b_full_e2e.csv,oracle,
Llama-2-7B,prefill_only,pred,pred,16,1024,0,756.9168090820312,0.0,0.0,0.0,0.0,756.9168090820312,224,0,"{'sparse_bf16': 160, 'sparse_nvfp4': 64}",/root/wja/project/my/cospaq/fake/artifacts/results/main/001_hybrid_policy_retest/pred/prefill_only/llama2-7b_policy.json,pred/prefill_only/llama2-7b_full_e2e.csv,pred,
Llama-2-7B,prefill_only,single,dense_bf16,16,1024,0,1174.7718505859375,0.0,0.0,0.0,0.0,1174.7718505859375,,,,/root/wja/project/my/cospaq/fake/artifacts/results/main/001_hybrid_policy_retest/single/dense_bf16/prefill_only/llama2-7b_policy.json,single/dense_bf16/prefill_only/llama2-7b_full_e2e.csv,single/dense_bf16,
Llama-2-7B,prefill_only,single,dense_nvfp4,16,1024,0,853.2855834960938,0.0,0.0,0.0,0.0,853.2855834960938,224,0,{'dense_nvfp4': 224},/root/wja/project/my/cospaq/fake/artifacts/results/main/001_hybrid_policy_retest/single/dense_nvfp4/prefill_only/llama2-7b_policy.json,single/dense_nvfp4/prefill_only/llama2-7b_full_e2e.csv,single/dense_nvfp4,
Llama-2-7B,prefill_only,single,dense_nvfp4_prefill_marlin_decode,16,1024,0,853.085693359375,0.0,0.0,0.0,0.0,853.085693359375,224,0,{'dense_nvfp4/marlin_nvfp4': 224},artifacts/results/main/003_llama2_oracle_summary/single/dense_nvfp4_prefill_marlin_decode/prefill_only/llama2-7b_policy.json,single/dense_nvfp4_prefill_marlin_decode/prefill_only/llama2-7b_full_e2e.csv,single/dense_nvfp4_prefill_marlin_decode,warm_e2e_aligned
Llama-2-7B,prefill_only,single,marlin_nvfp4,16,1024,0,1185.4903564453125,0.0,0.0,0.0,0.0,1185.4903564453125,224,0,{'marlin_nvfp4': 224},/root/wja/project/my/cospaq/fake/artifacts/results/main/001_hybrid_policy_retest/single/marlin_nvfp4/prefill_only/llama2-7b_policy.json,single/marlin_nvfp4/prefill_only/llama2-7b_full_e2e.csv,single/marlin_nvfp4,
Llama-2-7B,prefill_only,single,sparse_bf16,16,1024,0,803.2972412109375,0.0,0.0,0.0,0.0,803.2972412109375,224,0,{'sparse_bf16': 224},/root/wja/project/my/cospaq/fake/artifacts/results/main/001_hybrid_policy_retest/single/sparse_bf16/prefill_only/llama2-7b_policy.json,single/sparse_bf16/prefill_only/llama2-7b_full_e2e.csv,single/sparse_bf16,
Llama-2-7B,prefill_only,single,sparse_nvfp4,16,1024,0,791.8174438476562,0.0,0.0,0.0,0.0,791.8174438476562,224,0,{'sparse_nvfp4': 224},/root/wja/project/my/cospaq/fake/artifacts/results/main/001_hybrid_policy_retest/single/sparse_nvfp4/prefill_only/llama2-7b_policy.json,single/sparse_nvfp4/prefill_only/llama2-7b_full_e2e.csv,single/sparse_nvfp4,
