point_index,quality_ratio,predicted_delta_nll,raw_predicted_linear_ms,raw_linear_speedup_vs_dense,prefill_count_dense_bf16,prefill_count_dense_nvfp4,prefill_count_sparse_bf16,prefill_count_sparse_nvfp4,prefill_count_w4a16_ours,policy_json
10,0.014924955450518298,0.026474099102891044,778.5401837464544,1.2899422866915635,103,25,0,0,0,/root/wja/project/my/cospaq/fake/artifacts/debug/046_prefill_only_real_vllm_quality_recalibration/llama2_7b_chat/pareto/policies/point_010.json
11,0.02015337685941733,0.035298798803854725,733.0518886604325,1.3699874735175461,95,33,0,0,0,/root/wja/project/my/cospaq/fake/artifacts/debug/046_prefill_only_real_vllm_quality_recalibration/llama2_7b_chat/pareto/policies/point_011.json
12,0.027213387683753074,0.04765337838520388,669.9280931920155,1.4990741769286064,81,47,0,0,0,/root/wja/project/my/cospaq/fake/artifacts/debug/046_prefill_only_real_vllm_quality_recalibration/llama2_7b_chat/pareto/policies/point_012.json
13,0.0367466194073669,0.06442030781703487,602.3281880027824,1.6673167965676083,68,57,3,0,0,/root/wja/project/my/cospaq/fake/artifacts/debug/046_prefill_only_real_vllm_quality_recalibration/llama2_7b_chat/pareto/policies/point_013.json
14,0.04961947603002903,0.08736452703954044,544.8030475981355,1.8433668998928858,56,68,4,0,0,/root/wja/project/my/cospaq/fake/artifacts/debug/046_prefill_only_real_vllm_quality_recalibration/llama2_7b_chat/pareto/policies/point_014.json
15,0.06700187503509587,0.11825097599291333,509.1181811414473,1.9725712852202317,39,86,3,0,0,/root/wja/project/my/cospaq/fake/artifacts/debug/046_prefill_only_real_vllm_quality_recalibration/llama2_7b_chat/pareto/policies/point_015.json
16,0.09047357242349298,0.15972706458744262,484.3138455474667,2.0735973462991666,22,98,7,1,0,/root/wja/project/my/cospaq/fake/artifacts/debug/046_prefill_only_real_vllm_quality_recalibration/llama2_7b_chat/pareto/policies/point_016.json
17,0.12216773489967918,0.21532267270351382,468.4946691795745,2.1436143695334833,23,85,18,2,0,/root/wja/project/my/cospaq/fake/artifacts/debug/046_prefill_only_real_vllm_quality_recalibration/llama2_7b_chat/pareto/policies/point_017.json
18,0.16496480740980207,0.29121509013180147,449.62365711695054,2.2335833290950537,3,98,25,2,0,/root/wja/project/my/cospaq/fake/artifacts/debug/046_prefill_only_real_vllm_quality_recalibration/llama2_7b_chat/pareto/policies/point_018.json
19,0.22275429519995588,0.3935816066629802,431.2466096480441,2.328764754168836,0,84,41,3,0,/root/wja/project/my/cospaq/fake/artifacts/debug/046_prefill_only_real_vllm_quality_recalibration/llama2_7b_chat/pareto/policies/point_019.json
20,0.3007882518043099,0.5312469219980136,413.72608274370845,2.427383592165953,0,62,54,12,0,/root/wja/project/my/cospaq/fake/artifacts/debug/046_prefill_only_real_vllm_quality_recalibration/llama2_7b_chat/pareto/policies/point_020.json
21,0.40615859883769795,0.716565615718251,394.53792634002696,2.545438189477515,0,41,56,31,0,/root/wja/project/my/cospaq/fake/artifacts/debug/046_prefill_only_real_vllm_quality_recalibration/llama2_7b_chat/pareto/policies/point_021.json
22,0.5484416576121021,0.9680695571957159,373.51354074777737,2.688716191901933,0,19,62,47,0,/root/wja/project/my/cospaq/fake/artifacts/debug/046_prefill_only_real_vllm_quality_recalibration/llama2_7b_chat/pareto/policies/point_022.json
23,0.7405684692262434,1.27075675693877,357.99210019841007,2.8052906875502934,0,0,64,64,0,/root/wja/project/my/cospaq/fake/artifacts/debug/046_prefill_only_real_vllm_quality_recalibration/llama2_7b_chat/pareto/policies/point_023.json
