variant,repeat,prefill_ms,decode_x_n_ms,decode_first_ms,decode_steady_ms,e2e_ms,replaced_linear_count,backend_counts,policy_path
manual_down_to_pred,1,2525.95947265625,1480.642349243164,145.4622039794922,43.05663210550944,4006.601821899414,248,"{'marlin_nvfp4': 72, 'dense_nvfp4/marlin_nvfp4': 128, 'bf16': 48}",/root/wja/project/my/cospaq/fake/artifacts/debug/003_qwen35_policy_ablation/results/policies/manual_down_to_pred.json
manual_down_to_pred,2,2527.23291015625,1506.5896339416504,145.37123107910156,43.90422083536784,4033.8225440979004,248,"{'marlin_nvfp4': 72, 'dense_nvfp4/marlin_nvfp4': 128, 'bf16': 48}",/root/wja/project/my/cospaq/fake/artifacts/debug/003_qwen35_policy_ablation/results/policies/manual_down_to_pred.json
manual_kv_to_pred,0,2559.923095703125,1446.3297805786133,121.62393951416016,42.709145100911456,4006.2528762817383,248,"{'marlin_nvfp4': 88, 'dense_nvfp4/marlin_nvfp4': 96, 'bf16': 64}",/root/wja/project/my/cospaq/fake/artifacts/debug/003_qwen35_policy_ablation/results/policies/manual_kv_to_pred.json
manual_kv_to_pred,1,2560.720458984375,1481.4314193725586,126.26297760009766,43.71421953837077,4042.1518783569336,248,"{'marlin_nvfp4': 88, 'dense_nvfp4/marlin_nvfp4': 96, 'bf16': 64}",/root/wja/project/my/cospaq/fake/artifacts/debug/003_qwen35_policy_ablation/results/policies/manual_kv_to_pred.json
manual_kv_to_pred,2,2570.866455078125,1490.412265777588,124.84432220458984,44.03816553751628,4061.278720855713,248,"{'marlin_nvfp4': 88, 'dense_nvfp4/marlin_nvfp4': 96, 'bf16': 64}",/root/wja/project/my/cospaq/fake/artifacts/debug/003_qwen35_policy_ablation/results/policies/manual_kv_to_pred.json
manual_down_kv_to_pred,0,2532.216064453125,1508.8394775390625,149.53890991210938,43.84273363749186,4041.0555419921875,248,"{'marlin_nvfp4': 56, 'dense_nvfp4/marlin_nvfp4': 128, 'bf16': 64}",/root/wja/project/my/cospaq/fake/artifacts/debug/003_qwen35_policy_ablation/results/policies/manual_down_kv_to_pred.json
manual_down_kv_to_pred,1,2522.284912109375,1502.2344932556152,147.05667114257812,43.68508796691894,4024.5194053649902,248,"{'marlin_nvfp4': 56, 'dense_nvfp4/marlin_nvfp4': 128, 'bf16': 64}",/root/wja/project/my/cospaq/fake/artifacts/debug/003_qwen35_policy_ablation/results/policies/manual_down_kv_to_pred.json
manual_down_kv_to_pred,2,2525.10595703125,1504.2982139587402,144.80972290039062,43.85431073506673,4029.4041709899902,248,"{'marlin_nvfp4': 56, 'dense_nvfp4/marlin_nvfp4': 128, 'bf16': 64}",/root/wja/project/my/cospaq/fake/artifacts/debug/003_qwen35_policy_ablation/results/policies/manual_down_kv_to_pred.json
pred_down_to_manual,0,2578.494384765625,1486.0583457946777,125.01065826416016,43.894605000813804,4064.5527305603027,248,"{'marlin_nvfp4': 88, 'dense_nvfp4/marlin_nvfp4': 96, 'bf16': 64}",/root/wja/project/my/cospaq/fake/artifacts/debug/003_qwen35_policy_ablation/results/policies/pred_down_to_manual.json
pred_down_to_manual,1,2565.080810546875,1443.5169982910156,122.23321533203125,42.609124501546226,4008.5978088378906,248,"{'marlin_nvfp4': 88, 'dense_nvfp4/marlin_nvfp4': 96, 'bf16': 64}",/root/wja/project/my/cospaq/fake/artifacts/debug/003_qwen35_policy_ablation/results/policies/pred_down_to_manual.json
pred_down_to_manual,2,2562.564453125,1479.9097061157227,126.86531066894531,43.637748591105144,4042.4741592407227,248,"{'marlin_nvfp4': 88, 'dense_nvfp4/marlin_nvfp4': 96, 'bf16': 64}",/root/wja/project/my/cospaq/fake/artifacts/debug/003_qwen35_policy_ablation/results/policies/pred_down_to_manual.json
pred_kv_to_manual,0,2521.779296875,1493.7593078613281,143.48272705078125,43.54393399556478,4015.538604736328,248,"{'marlin_nvfp4': 72, 'dense_nvfp4/marlin_nvfp4': 128, 'bf16': 48}",/root/wja/project/my/cospaq/fake/artifacts/debug/003_qwen35_policy_ablation/results/policies/pred_kv_to_manual.json
pred_kv_to_manual,1,2520.561767578125,1493.9704360961914,145.56124877929688,43.38767051696777,4014.5322036743164,248,"{'marlin_nvfp4': 72, 'dense_nvfp4/marlin_nvfp4': 128, 'bf16': 48}",/root/wja/project/my/cospaq/fake/artifacts/debug/003_qwen35_policy_ablation/results/policies/pred_kv_to_manual.json
pred_kv_to_manual,2,2628.360595703125,1485.878719329834,146.78268432617188,43.18393719991048,4114.239315032959,248,"{'marlin_nvfp4': 72, 'dense_nvfp4/marlin_nvfp4': 128, 'bf16': 48}",/root/wja/project/my/cospaq/fake/artifacts/debug/003_qwen35_policy_ablation/results/policies/pred_kv_to_manual.json
pred_down_kv_to_manual,0,2563.051025390625,1482.8530960083008,126.06102752685547,43.75924173990885,4045.904121398926,248,"{'marlin_nvfp4': 104, 'dense_nvfp4/marlin_nvfp4': 96, 'bf16': 48}",/root/wja/project/my/cospaq/fake/artifacts/debug/003_qwen35_policy_ablation/results/policies/pred_down_kv_to_manual.json
pred_down_kv_to_manual,1,2557.856201171875,1451.3968353271484,120.82701110839844,42.91531206766764,4009.2530364990234,248,"{'marlin_nvfp4': 104, 'dense_nvfp4/marlin_nvfp4': 96, 'bf16': 48}",/root/wja/project/my/cospaq/fake/artifacts/debug/003_qwen35_policy_ablation/results/policies/pred_down_kv_to_manual.json
pred_down_kv_to_manual,2,2559.946044921875,1457.6010284423828,121.67353820800781,43.0804256439209,4017.547073364258,248,"{'marlin_nvfp4': 104, 'dense_nvfp4/marlin_nvfp4': 96, 'bf16': 48}",/root/wja/project/my/cospaq/fake/artifacts/debug/003_qwen35_policy_ablation/results/policies/pred_down_kv_to_manual.json
