model,policy,family,avg_nll,perplexity,token_count,phase_hetero,phase_trace,trace_events,result_path
llama2,max_speed,ours-max-speed,2.0287947660421284,7.604915131189838,2560,True,results/llama2_prefill_decode/max_speed.phase_trace.json,"{""apply_decode"": 323584, ""apply_prefill"": 4096, ""enable"": 1, ""enter_decode"": 32, ""prefill_ready"": 31, ""prepare_next_prefill"": 32, ""release_prefill"": 4096, ""schedule_decode_copy"": 4096}",artifacts/debug/044_llama_prefill_decode_vllm_nll/results/llama2_prefill_decode/max_speed.json
llama2,dense_bf16,uniform,2.0053798694399854,7.428915378751129,2560,False,,{},artifacts/debug/044_llama_prefill_decode_vllm_nll/results/llama2_prefill_decode/dense_bf16.json
llama2,dense_nvfp4,uniform,2.073926434223647,7.9560005826331865,2560,False,,{},artifacts/debug/044_llama_prefill_decode_vllm_nll/results/llama2_prefill_decode/dense_nvfp4.json
llama2,marlin_nvfp4,uniform,2.063443932681765,7.873037384867351,2560,False,,{},artifacts/debug/044_llama_prefill_decode_vllm_nll/results/llama2_prefill_decode/marlin_nvfp4.json
llama2,sparse_bf16,uniform,2.4013308907908226,11.037856791417049,2560,False,,{},artifacts/debug/044_llama_prefill_decode_vllm_nll/results/llama2_prefill_decode/sparse_bf16.json
llama2,sparse_nvfp4,uniform,3.2572943447978298,25.97915133963011,2560,False,,{},artifacts/debug/044_llama_prefill_decode_vllm_nll/results/llama2_prefill_decode/sparse_nvfp4.json
llama31,point_001_runtime,ours-formal-pareto,1.9112899670495367,6.761805681601203,2560,True,/root/wja/project/my/cospaq/fake/artifacts/debug/044_llama_prefill_decode_vllm_nll/results/llama31_prefill_decode/point_001_runtime.phase_trace.json,"{""apply_decode"": 323584, ""apply_prefill"": 4096, ""enable"": 1, ""enter_decode"": 32, ""prefill_ready"": 31, ""prepare_next_prefill"": 32, ""release_prefill"": 160, ""reuse_decode_weight"": 3936, ""schedule_decode_copy"": 160}",artifacts/debug/044_llama_prefill_decode_vllm_nll/results/llama31_prefill_decode/point_001_runtime.json
llama31,point_002,ours-formal-pareto,1.9127545823533905,6.771716381593984,2560,True,results/llama31_prefill_decode/point_002.phase_trace.json,{},artifacts/debug/044_llama_prefill_decode_vllm_nll/results/llama31_prefill_decode/point_002.json
llama31,point_003_runtime,ours-formal-pareto,1.9128556825372336,6.772401037973956,2560,True,results/llama31_prefill_decode/point_003_runtime.phase_trace.json,"{""apply_decode"": 323584, ""apply_prefill"": 4096, ""enable"": 1, ""enter_decode"": 32, ""prefill_ready"": 31, ""prepare_next_prefill"": 32, ""release_prefill"": 576, ""reuse_decode_weight"": 3520, ""schedule_decode_copy"": 576}",artifacts/debug/044_llama_prefill_decode_vllm_nll/results/llama31_prefill_decode/point_003_runtime.json
llama31,point_004,ours-formal-pareto,1.9131161721335683,6.774165407776567,2560,True,results/llama31_prefill_decode/point_004.phase_trace.json,{},artifacts/debug/044_llama_prefill_decode_vllm_nll/results/llama31_prefill_decode/point_004.json
llama31,point_005_runtime,ours-formal-pareto,1.9241739765675867,6.849488490509056,2560,True,/root/wja/project/my/cospaq/fake/artifacts/debug/044_llama_prefill_decode_vllm_nll/results/llama31_prefill_decode/point_005_runtime.phase_trace.json,"{""apply_decode"": 323584, ""apply_prefill"": 4096, ""enable"": 1, ""enter_decode"": 32, ""prefill_ready"": 31, ""prepare_next_prefill"": 32, ""release_prefill"": 1344, ""reuse_decode_weight"": 2752, ""schedule_decode_copy"": 1344}",artifacts/debug/044_llama_prefill_decode_vllm_nll/results/llama31_prefill_decode/point_005_runtime.json
llama31,point_006_retry,ours-formal-pareto,1.9278928343869215,6.875008186990595,2560,True,results/llama31_prefill_decode/point_006_retry.phase_trace.json,"{""apply_decode"": 323584, ""apply_prefill"": 4096, ""enable"": 1, ""enter_decode"": 32, ""prefill_ready"": 31, ""prepare_next_prefill"": 32, ""release_prefill"": 1696, ""reuse_decode_weight"": 2400, ""schedule_decode_copy"": 1696}",artifacts/debug/044_llama_prefill_decode_vllm_nll/results/llama31_prefill_decode/point_006_retry.json
llama31,point_007_runtime,ours-formal-pareto,1.933669385104301,6.914836946136526,2560,True,/root/wja/project/my/cospaq/fake/artifacts/debug/044_llama_prefill_decode_vllm_nll/results/llama31_prefill_decode/point_007_runtime.phase_trace.json,"{""apply_decode"": 323584, ""apply_prefill"": 4096, ""enable"": 1, ""enter_decode"": 32, ""prefill_ready"": 31, ""prepare_next_prefill"": 32, ""release_prefill"": 2176, ""reuse_decode_weight"": 1920, ""schedule_decode_copy"": 2176}",artifacts/debug/044_llama_prefill_decode_vllm_nll/results/llama31_prefill_decode/point_007_runtime.json
llama31,point_008,ours-formal-pareto,1.950128558891133,7.029591238956188,2560,True,results/llama31_prefill_decode/point_008.phase_trace.json,"{""apply_decode"": 323584, ""apply_prefill"": 4096, ""enable"": 1, ""enter_decode"": 32, ""prefill_ready"": 31, ""prepare_next_prefill"": 32, ""release_prefill"": 3680, ""reuse_decode_weight"": 416, ""schedule_decode_copy"": 3680}",artifacts/debug/044_llama_prefill_decode_vllm_nll/results/llama31_prefill_decode/point_008.json
llama31,point_009_runtime,ours-formal-pareto,1.951015228229279,7.035826926055215,2560,True,/root/wja/project/my/cospaq/fake/artifacts/debug/044_llama_prefill_decode_vllm_nll/results/llama31_prefill_decode/point_009_runtime.phase_trace.json,"{""apply_decode"": 323584, ""apply_prefill"": 4096, ""enable"": 1, ""enter_decode"": 32, ""prefill_ready"": 31, ""prepare_next_prefill"": 32, ""release_prefill"": 4096, ""schedule_decode_copy"": 4096}",artifacts/debug/044_llama_prefill_decode_vllm_nll/results/llama31_prefill_decode/point_009_runtime.json
llama31,max_speed,ours-max-speed,1.951015228229279,7.035826926055215,2560,True,results/llama31_prefill_decode/max_speed.phase_trace.json,"{""apply_decode"": 323584, ""apply_prefill"": 4096, ""enable"": 1, ""enter_decode"": 32, ""prefill_ready"": 31, ""prepare_next_prefill"": 32, ""release_prefill"": 4096, ""schedule_decode_copy"": 4096}",artifacts/debug/044_llama_prefill_decode_vllm_nll/results/llama31_prefill_decode/max_speed.json
llama31,dense_bf16,uniform,1.9075417758688786,6.736508579983134,2560,False,,{},artifacts/debug/044_llama_prefill_decode_vllm_nll/results/llama31_prefill_decode/dense_bf16.json
llama31,dense_nvfp4,uniform,1.9979468875394673,7.3739010985659394,2560,False,,{},artifacts/debug/044_llama_prefill_decode_vllm_nll/results/llama31_prefill_decode/dense_nvfp4.json
llama31,marlin_nvfp4,uniform,1.9547465645828148,7.062129003273344,2560,False,,{},artifacts/debug/044_llama_prefill_decode_vllm_nll/results/llama31_prefill_decode/marlin_nvfp4.json
llama31,sparse_bf16,uniform,2.5479462039945076,12.780827596271847,2560,False,,{},artifacts/debug/044_llama_prefill_decode_vllm_nll/results/llama31_prefill_decode/sparse_bf16.json
llama31,sparse_nvfp4,uniform,3.4632384289459295,31.920180551659772,2560,False,,{},artifacts/debug/044_llama_prefill_decode_vllm_nll/results/llama31_prefill_decode/sparse_nvfp4.json
