module_name,layer,part,fisher_mean_grad_sq,blocks,tokens
model.layers.2.mlp.up_proj,2,up_proj,1.309920760750316e-08,8,256
model.layers.2.self_attn.k_proj,2,k_proj,1.5413834236754909e-09,8,256
model.layers.2.self_attn.o_proj,2,o_proj,1.6273208416350826e-06,8,256
model.layers.2.self_attn.q_proj,2,q_proj,1.2350741401823129e-09,8,256
model.layers.2.self_attn.v_proj,2,v_proj,1.1194955220616976e-06,8,256
model.layers.20.mlp.down_proj,20,down_proj,1.4751053267758607e-08,8,256
model.layers.20.mlp.gate_proj,20,gate_proj,8.437189141785595e-10,8,256
model.layers.20.mlp.up_proj,20,up_proj,1.1106260494608833e-09,8,256
model.layers.20.self_attn.k_proj,20,k_proj,2.0594477945917733e-10,8,256
model.layers.20.self_attn.o_proj,20,o_proj,1.6389855916898455e-08,8,256
model.layers.20.self_attn.q_proj,20,q_proj,1.6661229427367141e-10,8,256
model.layers.20.self_attn.v_proj,20,v_proj,1.3754954952815979e-08,8,256
model.layers.21.mlp.down_proj,21,down_proj,1.275950672896542e-08,8,256
model.layers.21.mlp.gate_proj,21,gate_proj,7.981389507638603e-10,8,256
model.layers.21.mlp.up_proj,21,up_proj,1.019382710187866e-09,8,256
model.layers.21.self_attn.k_proj,21,k_proj,1.432697571690511e-10,8,256
model.layers.21.self_attn.o_proj,21,o_proj,1.444389663429746e-08,8,256
model.layers.21.self_attn.q_proj,21,q_proj,1.124022680487613e-10,8,256
model.layers.21.self_attn.v_proj,21,v_proj,1.2730105192204633e-08,8,256
model.layers.22.mlp.down_proj,22,down_proj,1.0779850623254816e-08,8,256
model.layers.22.mlp.gate_proj,22,gate_proj,7.307296885639136e-10,8,256
model.layers.22.mlp.up_proj,22,up_proj,9.159223518517834e-10,8,256
model.layers.22.self_attn.k_proj,22,k_proj,2.4881987529395966e-10,8,256
model.layers.22.self_attn.o_proj,22,o_proj,1.2395835025102997e-08,8,256
model.layers.22.self_attn.q_proj,22,q_proj,1.8964275809441045e-10,8,256
model.layers.22.self_attn.v_proj,22,v_proj,1.0863285326845329e-08,8,256
model.layers.23.mlp.down_proj,23,down_proj,9.116427279742823e-09,8,256
model.layers.23.mlp.gate_proj,23,gate_proj,6.921798655079581e-10,8,256
model.layers.23.mlp.up_proj,23,up_proj,8.306475993147266e-10,8,256
model.layers.23.self_attn.k_proj,23,k_proj,1.4752652485044981e-10,8,256
model.layers.23.self_attn.o_proj,23,o_proj,1.0565071595358688e-08,8,256
model.layers.23.self_attn.q_proj,23,q_proj,1.1561630125500599e-10,8,256
model.layers.23.self_attn.v_proj,23,v_proj,1.1029027247033696e-08,8,256
model.layers.24.mlp.down_proj,24,down_proj,7.728595541323102e-09,8,256
model.layers.24.mlp.gate_proj,24,gate_proj,6.350783267328186e-10,8,256
model.layers.24.mlp.up_proj,24,up_proj,7.525403772357109e-10,8,256
model.layers.24.self_attn.k_proj,24,k_proj,1.7512915423401054e-10,8,256
model.layers.24.self_attn.o_proj,24,o_proj,8.984005372969506e-09,8,256
model.layers.24.self_attn.q_proj,24,q_proj,1.3226112826475456e-10,8,256
model.layers.24.self_attn.v_proj,24,v_proj,8.712997601190153e-09,8,256
model.layers.25.mlp.down_proj,25,down_proj,6.337393221311771e-09,8,256
model.layers.25.mlp.gate_proj,25,gate_proj,5.969318372933685e-10,8,256
model.layers.25.mlp.up_proj,25,up_proj,6.891814757770121e-10,8,256
model.layers.25.self_attn.k_proj,25,k_proj,2.461624190076839e-10,8,256
model.layers.25.self_attn.o_proj,25,o_proj,7.376038335671353e-09,8,256
model.layers.25.self_attn.q_proj,25,q_proj,1.3737525873802614e-10,8,256
model.layers.25.self_attn.v_proj,25,v_proj,8.501018167184071e-09,8,256
model.layers.26.mlp.down_proj,26,down_proj,5.255312185425964e-09,8,256
model.layers.26.mlp.gate_proj,26,gate_proj,5.549890894074316e-10,8,256
model.layers.26.mlp.up_proj,26,up_proj,6.353858897356623e-10,8,256
model.layers.26.self_attn.k_proj,26,k_proj,3.0875535027979906e-10,8,256
model.layers.26.self_attn.o_proj,26,o_proj,6.152443776663574e-09,8,256
model.layers.26.self_attn.q_proj,26,q_proj,1.524438960481822e-10,8,256
model.layers.26.self_attn.v_proj,26,v_proj,8.139609486423893e-09,8,256
model.layers.27.mlp.down_proj,27,down_proj,4.237125234007877e-09,8,256
model.layers.27.mlp.gate_proj,27,gate_proj,5.346492311375517e-10,8,256
model.layers.27.mlp.up_proj,27,up_proj,6.112100790767183e-10,8,256
model.layers.27.self_attn.k_proj,27,k_proj,8.669859656584844e-10,8,256
model.layers.27.self_attn.o_proj,27,o_proj,5.003986253138137e-09,8,256
model.layers.27.self_attn.q_proj,27,q_proj,1.963654768302736e-10,8,256
model.layers.27.self_attn.v_proj,27,v_proj,1.024361762080872e-08,8,256
model.layers.28.mlp.down_proj,28,down_proj,3.172263979278611e-09,8,256
model.layers.28.mlp.gate_proj,28,gate_proj,4.89241890055947e-10,8,256
model.layers.28.mlp.up_proj,28,up_proj,5.70953402612151e-10,8,256
model.layers.28.self_attn.k_proj,28,k_proj,2.6488355259202123e-09,8,256
model.layers.28.self_attn.o_proj,28,o_proj,3.840877949023991e-09,8,256
model.layers.28.self_attn.q_proj,28,q_proj,3.8702892626862884e-10,8,256
model.layers.28.self_attn.v_proj,28,v_proj,1.9461313005564307e-08,8,256
model.layers.29.mlp.down_proj,29,down_proj,2.4114385210882716e-09,8,256
model.layers.29.mlp.gate_proj,29,gate_proj,4.24253139563735e-10,8,256
model.layers.29.mlp.up_proj,29,up_proj,5.052866597354821e-10,8,256
model.layers.29.self_attn.k_proj,29,k_proj,4.906927884851253e-10,8,256
model.layers.29.self_attn.o_proj,29,o_proj,2.9121735023451834e-09,8,256
model.layers.29.self_attn.q_proj,29,q_proj,1.1738415404624614e-10,8,256
model.layers.29.self_attn.v_proj,29,v_proj,5.091617599761733e-09,8,256
model.layers.3.mlp.down_proj,3,down_proj,6.608717058043112e-07,8,256
model.layers.3.mlp.gate_proj,3,gate_proj,7.720620892603947e-09,8,256
model.layers.3.mlp.up_proj,3,up_proj,1.021610496199088e-08,8,256
model.layers.3.self_attn.k_proj,3,k_proj,1.0335905707703485e-09,8,256
model.layers.3.self_attn.o_proj,3,o_proj,9.808237884101345e-07,8,256
model.layers.3.self_attn.q_proj,3,q_proj,1.0110725590095626e-09,8,256
model.layers.3.self_attn.v_proj,3,v_proj,6.589003902490731e-07,8,256
model.layers.30.mlp.down_proj,30,down_proj,1.8530566525676306e-09,8,256
model.layers.30.mlp.gate_proj,30,gate_proj,4.305438679186313e-10,8,256
model.layers.30.mlp.up_proj,30,up_proj,6.339309216452094e-10,8,256
model.layers.30.self_attn.k_proj,30,k_proj,3.052160902489165e-10,8,256
model.layers.30.self_attn.o_proj,30,o_proj,2.2773224972461037e-09,8,256
model.layers.30.self_attn.q_proj,30,q_proj,1.1148767195892639e-10,8,256
model.layers.30.self_attn.v_proj,30,v_proj,5.718692269729431e-09,8,256
model.layers.31.mlp.down_proj,31,down_proj,1.6227534038737446e-09,8,256
model.layers.31.mlp.gate_proj,31,gate_proj,4.3555825265939596e-10,8,256
model.layers.31.mlp.up_proj,31,up_proj,1.0247250062378477e-09,8,256
model.layers.31.self_attn.k_proj,31,k_proj,9.405902862136273e-10,8,256
model.layers.31.self_attn.o_proj,31,o_proj,1.7740226093687639e-09,8,256
model.layers.31.self_attn.q_proj,31,q_proj,1.3085863989625857e-10,8,256
model.layers.31.self_attn.v_proj,31,v_proj,1.7575631228172739e-09,8,256
model.layers.4.mlp.down_proj,4,down_proj,3.9932238671269715e-07,8,256
model.layers.4.mlp.gate_proj,4,gate_proj,5.942428382699205e-09,8,256
model.layers.4.mlp.up_proj,4,up_proj,8.633470327534809e-09,8,256
model.layers.4.self_attn.k_proj,4,k_proj,9.813371851241648e-10,8,256
model.layers.4.self_attn.o_proj,4,o_proj,5.850856652500624e-07,8,256
model.layers.4.self_attn.q_proj,4,q_proj,8.755231747925585e-10,8,256
model.layers.4.self_attn.v_proj,4,v_proj,4.451129562710321e-07,8,256
model.layers.5.mlp.down_proj,5,down_proj,2.582321574351454e-07,8,256
model.layers.5.mlp.gate_proj,5,gate_proj,4.598688596590961e-09,8,256
model.layers.5.mlp.up_proj,5,up_proj,6.810279895574922e-09,8,256
model.layers.5.self_attn.k_proj,5,k_proj,8.315175215045656e-10,8,256
model.layers.5.self_attn.o_proj,5,o_proj,3.5489110139508284e-07,8,256
model.layers.5.self_attn.q_proj,5,q_proj,8.422822161957555e-10,8,256
model.layers.5.self_attn.v_proj,5,v_proj,2.935528247149932e-07,8,256
model.layers.6.mlp.down_proj,6,down_proj,1.6806659086654463e-07,8,256
model.layers.6.mlp.gate_proj,6,gate_proj,3.530629427705989e-09,8,256
model.layers.6.mlp.up_proj,6,up_proj,5.763885230214427e-09,8,256
model.layers.6.self_attn.k_proj,6,k_proj,9.611867829439902e-10,8,256
model.layers.6.self_attn.o_proj,6,o_proj,2.256220827945299e-07,8,256
model.layers.6.self_attn.q_proj,6,q_proj,8.090901212898238e-10,8,256
model.layers.6.self_attn.v_proj,6,v_proj,1.549467807393512e-07,8,256
model.layers.7.mlp.down_proj,7,down_proj,1.1430861768246814e-07,8,256
model.layers.7.mlp.gate_proj,7,gate_proj,2.7971674976257077e-09,8,256
model.layers.7.mlp.up_proj,7,up_proj,4.495842587104448e-09,8,256
model.layers.7.self_attn.k_proj,7,k_proj,6.827797979780392e-10,8,256
model.layers.7.self_attn.o_proj,7,o_proj,1.4925237401541835e-07,8,256
model.layers.7.self_attn.q_proj,7,q_proj,6.355950488146078e-10,8,256
model.layers.7.self_attn.v_proj,7,v_proj,1.1005800271135513e-07,8,256
model.layers.8.mlp.down_proj,8,down_proj,8.291246356151305e-08,8,256
model.layers.8.mlp.gate_proj,8,gate_proj,2.3232291646024805e-09,8,256
model.layers.8.mlp.up_proj,8,up_proj,3.534044112907253e-09,8,256
model.layers.8.self_attn.k_proj,8,k_proj,7.531061677057416e-10,8,256
model.layers.8.self_attn.o_proj,8,o_proj,1.0198139666073303e-07,8,256
model.layers.8.self_attn.q_proj,8,q_proj,6.350143813560472e-10,8,256
model.layers.8.self_attn.v_proj,8,v_proj,7.71975341429254e-08,8,256
model.layers.9.mlp.down_proj,9,down_proj,6.331554391891814e-08,8,256
model.layers.9.mlp.gate_proj,9,gate_proj,1.95754451537411e-09,8,256
model.layers.9.mlp.up_proj,9,up_proj,2.9029953996229096e-09,8,256
model.layers.9.self_attn.k_proj,9,k_proj,7.946808558423335e-10,8,256
model.layers.9.self_attn.o_proj,9,o_proj,7.381898825542521e-08,8,256
model.layers.9.self_attn.q_proj,9,q_proj,6.079837258643472e-10,8,256
model.layers.9.self_attn.v_proj,9,v_proj,5.957399773492966e-08,8,256
