method,policy,selected_modules,replaced_modules,nll,ppl,tokens,nll_delta_vs_dense,task,arc_limit,arc_acc,arc_acc_norm,arc_sample_len
sparse_nvfp4,layer_family:12:mlp,3,3,2.0468488980646002,7.743462183087893,16352,0.007349771996067123,arc_challenge,128,0.421875,0.4296875,128
sparse_nvfp4,layer:16,7,7,2.052217371543093,7.785144539653543,16352,0.012718245474559797,arc_challenge,128,0.3828125,0.4453125,128
sparse_nvfp4,layer_family:16:attention,4,4,2.043233897588024,7.7155200993581365,16352,0.003734771519491087,arc_challenge,128,0.4140625,0.4375,128
sparse_nvfp4,layer_family:16:mlp,3,3,2.0484630189063266,7.7559711595686665,16352,0.00896389283779353,arc_challenge,128,0.3984375,0.4609375,128
sparse_nvfp4,layer:20,7,7,2.054255629239017,7.801028853088149,16352,0.014756503170483715,arc_challenge,128,0.3828125,0.4375,128
sparse_nvfp4,layer_family:20:attention,4,4,2.043019244348933,7.71386411571502,16352,0.0035201182803996645,arc_challenge,128,0.4140625,0.4453125,128
sparse_nvfp4,layer_family:20:mlp,3,3,2.0502450237535452,7.769804659791394,16352,0.010745897685012107,arc_challenge,128,0.3984375,0.4453125,128
sparse_nvfp4,layer:24,7,7,2.0493137225246243,7.762571999578681,16352,0.009814596456091174,arc_challenge,128,0.40625,0.453125,128
sparse_nvfp4,layer_family:24:attention,4,4,2.0375335155867784,7.671663805025701,16352,-0.001965610481754698,arc_challenge,128,0.4375,0.46875,128
sparse_nvfp4,layer_family:24:mlp,3,3,2.051323560352661,7.7781891991884935,16352,0.01182443428412805,arc_challenge,128,0.40625,0.4453125,128
sparse_nvfp4,layer:28,7,7,2.0543272761216134,7.801587792509413,16352,0.014828150053080247,arc_challenge,128,0.390625,0.4296875,128
sparse_nvfp4,layer_family:28:attention,4,4,2.0422113758243925,7.7076348442483225,16352,0.002712249755859375,arc_challenge,128,0.4296875,0.4609375,128
sparse_nvfp4,layer_family:28:mlp,3,3,2.0510010019440474,7.775680683451678,16352,0.011501875875514322,arc_challenge,128,0.390625,0.4296875,128
